Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
123,Exit short,2021-09-15 16:05,Cierre forzoso fin sesión,34692,28.7,996148.3,487.9,0.05,861,0.09,-28.7,0.00,-1268.7,-0.13
123,Entry short,2021-09-15 16:00,Short,34709,28.7,996148.3,487.9,0.05,861,0.09,-28.7,0.00,-1268.7,-0.13
124,Exit long,2021-09-16 16:05,Cierre forzoso fin sesión,34624,28.8,997891.2,-720,-0.07,259.2,0.03,-748.8,-0.08,-1988.7,-0.20
124,Entry long,2021-09-16 16:00,Long,34649,28.8,997891.2,-720,-0.07,259.2,0.03,-748.8,-0.08,-1988.7,-0.20
125,Exit short,2021-09-22 15:40,Exit Short Trailing,34349,29,995657,-464,-0.05,58,0.01,-696,-0.07,-2452.7,-0.25
125,Entry short,2021-09-22 15:35,Short,34333,29,995657,-464,-0.05,58,0.01,-696,-0.07,-2452.7,-0.25
126,Exit long,2021-09-28 15:50,Exit Long Trailing,34382,29,997397,-319,-0.03,522,0.05,-609,-0.06,-2771.7,-0.28
126,Entry long,2021-09-28 15:45,Long,34393,29,997397,-319,-0.03,522,0.05,-609,-0.06,-2771.7,-0.28
127,Exit long,2021-09-30 15:40,Exit Long Trailing,34147,29.1,995045.4,-1367.7,-0.14,174.6,0.02,-1920.6,-0.19,-4139.4,-0.41
127,Entry long,2021-09-30 15:35,Long,34194,29.1,995045.4,-1367.7,-0.14,174.6,0.02,-1920.6,-0.19,-4139.4,-0.41
128,Exit short,2021-10-05 16:05,Cierre forzoso fin sesión,34424,28.9,994477.9,-375.7,-0.04,953.7,0.10,-549.1,-0.06,-4515.1,-0.45
128,Entry short,2021-10-05 15:40,Short,34411,28.9,994477.9,-375.7,-0.04,953.7,0.10,-549.1,-0.06,-4515.1,-0.45
129,Exit long,2021-10-13 16:05,Cierre forzoso fin sesión,34235,29,994091,-1276,-0.13,406,0.04,-1392,-0.14,-5791.1,-0.58
129,Entry long,2021-10-13 15:50,Long,34279,29,994091,-1276,-0.13,406,0.04,-1392,-0.14,-5791.1,-0.58
130,Exit short,2021-10-28 16:05,Cierre forzoso fin sesión,35641,27.9,993853.8,-530.1,-0.05,530.1,0.05,-613.8,-0.06,-6321.2,-0.63
130,Entry short,2021-10-28 15:50,Short,35622,27.9,993853.8,-530.1,-0.05,530.1,0.05,-613.8,-0.06,-6321.2,-0.63
131,Exit short,2021-11-05 16:05,Cierre forzoso fin sesión,36365,27.3,993447,682.5,0.07,1310.4,0.13,-655.2,-0.07,-5638.7,-0.56
131,Entry short,2021-11-05 15:45,Short,36390,27.3,993447,682.5,0.07,1310.4,0.13,-655.2,-0.07,-5638.7,-0.56
132,Exit long,2021-12-17 16:05,Cierre forzoso fin sesión,35562,28,993524,2212,0.22,5236,0.53,0,0.00,-3426.7,-0.34
132,Entry long,2021-12-17 15:35,Long,35483,28,993524,2212,0.22,5236,0.53,0,0.00,-3426.7,-0.34
133,Exit long,2021-12-31 15:40,Exit Long Trailing,36355,27.4,996264,-137,-0.01,602.8,0.06,-383.6,-0.04,-3563.7,-0.36
133,Entry long,2021-12-31 15:35,Long,36360,27.4,996264,-137,-0.01,602.8,0.06,-383.6,-0.04,-3563.7,-0.36
134,Exit short,2022-01-13 16:00,Exit Short Trailing,36435,27.3,993146.7,-1528.8,-0.15,27.3,0.00,-1528.8,-0.15,-5092.5,-0.51
134,Entry short,2022-01-13 15:55,Short,36379,27.3,993146.7,-1528.8,-0.15,27.3,0.00,-1528.8,-0.15,-5092.5,-0.51
135,Exit short,2022-02-08 15:55,Exit Short Trailing,35236,28.2,993429.6,-225.6,-0.02,592.2,0.06,-535.8,-0.05,-5318.1,-0.53
