Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
4782,Exit long,2021-02-09 12:45,Exit Long Trailing,31303,31.8,995753.4,-318,-0.03,286.2,0.03,-349.8,-0.04,-1859.4,-0.19
4782,Entry long,2021-02-09 12:20,Long,31313,31.8,995753.4,-318,-0.03,286.2,0.03,-349.8,-0.04,-1859.4,-0.19
4783,Exit long,2021-02-09 14:00,Exit Long Trailing,31297,31.8,995403.6,-159,-0.02,381.6,0.04,-159,-0.02,-2018.4,-0.20
4783,Entry long,2021-02-09 13:45,Long,31302,31.8,995403.6,-159,-0.02,381.6,0.04,-159,-0.02,-2018.4,-0.20
4784,Exit long,2021-02-09 16:10,Exit Long Trailing,31287,31.8,995626.2,-699.6,-0.07,922.2,0.09,-699.6,-0.07,-2718,-0.27
4784,Entry long,2021-02-09 15:10,Long,31309,31.8,995626.2,-699.6,-0.07,922.2,0.09,-699.6,-0.07,-2718,-0.27
4785,Exit short,2021-02-09 19:40,Exit Short Trailing,31434,31.7,996299.3,-158.5,-0.02,31.7,0.00,-221.9,-0.02,-2876.5,-0.29
4785,Entry short,2021-02-09 19:35,Short,31429,31.7,996299.3,-158.5,-0.02,31.7,0.00,-221.9,-0.02,-2876.5,-0.29
4786,Exit short,2021-02-09 20:35,Exit Short Trailing,31411,31.7,995792.1,63.4,0.01,665.7,0.07,-31.7,0.00,-2813.1,-0.28
4786,Entry short,2021-02-09 20:20,Short,31413,31.7,995792.1,63.4,0.01,665.7,0.07,-31.7,0.00,-2813.1,-0.28
4787,Exit short,2021-02-10 04:35,Exit Short Trailing,31459,31.7,997155.2,-95.1,-0.01,348.7,0.03,-221.9,-0.02,-2908.2,-0.29
4787,Entry short,2021-02-10 03:40,Short,31456,31.7,997155.2,-95.1,-0.01,348.7,0.03,-221.9,-0.02,-2908.2,-0.29
4788,Exit long,2021-02-10 17:10,Exit Long Trailing,31345,31.8,996898.2,-127.2,-0.01,159,0.02,-826.8,-0.08,-3035.4,-0.30
4788,Entry long,2021-02-10 17:05,Long,31349,31.8,996898.2,-127.2,-0.01,159,0.02,-826.8,-0.08,-3035.4,-0.30
4789,Exit long,2021-02-11 02:35,Exit Long Trailing,31406,31.7,994809.4,760.8,0.08,760.8,0.08,-63.4,-0.01,-2274.6,-0.23
4789,Entry long,2021-02-11 02:20,Long,31382,31.7,994809.4,760.8,0.08,760.8,0.08,-63.4,-0.01,-2274.6,-0.23
4790,Exit long,2021-02-11 07:00,Exit Long Trailing,31469,31.7,995760.4,1806.9,0.18,1806.9,0.18,-285.3,-0.03,-467.7,-0.05
4790,Entry long,2021-02-11 02:40,Long,31412,31.7,995760.4,1806.9,0.18,1806.9,0.18,-285.3,-0.03,-467.7,-0.05
4791,Exit short,2021-02-11 07:25,Exit Short Trailing,31463,31.7,997789.2,412.1,0.04,412.1,0.04,-158.5,-0.02,-55.6,-0.01
4791,Entry short,2021-02-11 07:10,Short,31476,31.7,997789.2,412.1,0.04,412.1,0.04,-158.5,-0.02,-55.6,-0.01
4792,Exit short,2021-02-11 07:55,Exit Short Trailing,31469,31.7,997028.4,-538.9,-0.05,31.7,0.00,-538.9,-0.05,-594.5,-0.06
4792,Entry short,2021-02-11 07:50,Short,31452,31.7,997028.4,-538.9,-0.05,31.7,0.00,-538.9,-0.05,-594.5,-0.06
4793,Exit short,2021-02-11 09:00,Exit Short Trailing,31481,31.7,998454.9,507.2,0.05,507.2,0.05,0,0.00,-87.3,-0.01
4793,Entry short,2021-02-11 08:55,Short,31497,31.7,998454.9,507.2,0.05,507.2,0.05,0,0.00,-87.3,-0.01
4794,Exit short,2021-02-11 11:10,Exit Short Trailing,31482,31.7,997789.2,-190.2,-0.02,443.8,0.04,-190.2,-0.02,-277.5,-0.03
4794,Entry short,2021-02-11 10:15,Short,31476,31.7,997789.2,-190.2,-0.02,443.8,0.04,-190.2,-0.02,-277.5,-0.03
4795,Exit long,2021-02-11 19:10,Exit Long Trailing,31301,31.9,998278.6,223.3,0.02,542.3,0.05,-223.3,-0.02,-54.2,-0.01
4795,Entry long,2021-02-11 19:05,Long,31294,31.9,998278.6,223.3,0.02,542.3,0.05,-223.3,-0.02,-54.2,-0.01
4796,Exit long,2021-02-12 02:40,Exit Long Trailing,31400,31.8,998488.2,31.8,0.00,127.2,0.01,-127.2,-0.01,-22.4,0.00
4796,Entry long,2021-02-12 02:35,Long,31399,31.8,998488.2,31.8,0.00,127.2,0.01,-127.2,-0.01,-22.4,0.00
4797,Exit long,2021-02-12 02:50,Exit Long Trailing,31393,31.8,998106.6,190.8,0.02,222.6,0.02,-31.8,0.00,168.4,0.02
4797,Entry long,2021-02-12 02:45,Long,31387,31.8,998106.6,190.8,0.02,222.6,0.02,-31.8,0.00,168.4,0.02
4798,Exit short,2021-02-14 23:10,Exit Short Trailing,31538,31.7,999437.6,-317,-0.03,285.3,0.03,-634,-0.06,-148.6,-0.01
4798,Entry short,2021-02-14 23:05,Short,31528,31.7,999437.6,-317,-0.03,285.3,0.03,-634,-0.06,-148.6,-0.01
4799,Exit short,2021-02-15 04:15,Exit Short Trailing,31622,31.6,999729.2,474,0.05,537.2,0.05,0,0.00,325.4,0.03
4799,Entry short,2021-02-15 04:10,Short,31637,31.6,999729.2,474,0.05,537.2,0.05,0,0.00,325.4,0.03
4800,Exit short,2021-02-15 06:10,Exit Short Trailing,31641,31.6,999634.4,-221.2,-0.02,31.6,0.00,-284.4,-0.03,104.2,0.01
4800,Entry short,2021-02-15 06:05,Short,31634,31.6,999634.4,-221.2,-0.02,31.6,0.00,-284.4,-0.03,104.2,0.01
4801,Exit long,2021-02-16 11:10,Exit Long Trailing,31630,31.5,996880.5,-535.5,-0.05,31.5,0.00,-850.5,-0.09,-431.3,-0.04
4801,Entry long,2021-02-16 11:05,Long,31647,31.5,996880.5,-535.5,-0.05,31.5,0.00,-850.5,-0.09,-431.3,-0.04
4802,Exit long,2021-02-16 13:10,Exit Long Trailing,31632,31.6,998654.8,916.4,0.09,1011.2,0.10,0,0.00,485.1,0.05
4802,Entry long,2021-02-16 13:05,Long,31603,31.6,998654.8,916.4,0.09,1011.2,0.10,0,0.00,485.1,0.05
4803,Exit long,2021-02-16 15:05,Exit Long Trailing,31560,31.7,1000135,317,0.03,1172.9,0.12,-348.7,-0.03,802.1,0.08
4803,Entry long,2021-02-16 15:00,Long,31550,31.7,1000135,317,0.03,1172.9,0.12,-348.7,-0.03,802.1,0.08
